Task,Variable Name,Data Type,Description,Default
freyja_plot,collection_date,Array[String],Array of collection dates for analyzed samples to be utilized if plotting data over time,None
freyja_plot_task,docker,String,Docker image used for running Freyja,quay.io/staphb/freyja:1.3.4
freyja_plot_task,plot_day_window,Int,Size of the rolling average window if "D" (day) is selected for plot_time_interval,14
freyja_plot_task,plot_lineages,Boolean,Option to plot a lineage specific breakdown rather than summarized breakdown of VOC/VOIs,False
freyja_plot_task,plot_time,Boolean,Option to plot VOC/lineage proportions over time,False
freyja_plot_task,plot_time_interval,String,Time interval to plot if plot_time is True. Bin options: MS (month) or D (day),MS (month)
version_capture,timezone,String,User time zone in valid Unix TZ string (e.g. America/New_York),None
