Task	Variable Name	Data Type	Description	Default
vadr	maxlen	Int	Maximum length for the fasta-trim-terminal-ambigs.pl VADR script	30000
vadr	minlen	Int	Minimum length subsequence to possibly replace Ns for the fasta-trim-terminal-ambigs.pl VADR script	50
vadr	skip_length	Int	Minimum assembly length (unambiguous) to run vadr	10000
vadr	vadr_opts	String	Options for the v-annotate.pl VADR script	''--glsearch -s -r --nomisc --mkey sarscov2 --alt_fail lowscore,fstukcnf,insertnn,deletinn --mdir /opt/vadr/vadr-models/''
version_capture	timezone	String	User time zone in valid Unix TZ string (e.g. America/New_York)	None
